,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2016,"58,99%","52,47%","48,34%","46,87%","43,55%","40,86%","39,67%","39,27%","36,45%","35,55%","35,39%","33,56%","32,14%","30,63%","29,76%","29,36%","28,08%","27,21%","26,73%","25,99%","24,01%","23,18%","22,44%",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2016,"52,97%","46,72%","43,63%","41,23%","38,70%","37,44%","35,93%","34,92%","34,04%","32,49%","31,00%","30,76%","30,05%","28,28%","27,13%","27,34%","26,28%","25,27%","24,12%","24,04%","23,06%","22,32%","20,99%","20,37%",,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2016,"54,77%","47,85%","44,95%","42,39%","40,49%","38,11%","37,39%","35,69%","34,72%","33,75%","32,41%","31,80%","30,66%","30,00%","29,22%","28,44%","27,38%","26,30%","25,17%","24,20%","23,55%","23,05%","21,70%","21,08%","20,15%",,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2016,"69,22%","62,79%","56,53%","53,80%","49,77%","48,43%","46,40%","44,97%","42,74%","42,67%","42,61%","40,81%","39,25%","38,67%","37,58%","35,48%","34,40%","33,40%","33,05%","31,85%","30,28%","29,61%","28,86%","27,66%","26,23%","25,45%",,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2016,"57,18%","50,82%","47,35%","44,24%","40,73%","39,34%","37,00%","36,42%","35,00%","34,43%","33,45%","33,07%","31,73%","31,21%","30,76%","29,35%","28,65%","27,22%","26,27%","25,65%","25,35%","24,15%","23,63%","23,05%","22,25%","21,42%","20,74%",,,,,,,,,,,,,,,,,,,,,,,,
3/21/2016,"51,76%","46,32%","42,98%","39,32%","36,90%","34,55%","34,26%","32,00%","31,28%","30,91%","29,70%","28,99%","28,90%","27,17%","27,07%","26,41%","25,17%","24,60%","23,86%","23,15%","22,83%","21,83%","21,40%","20,89%","20,37%","20,03%","19,00%","18,33%",,,,,,,,,,,,,,,,,,,,,,,
3/14/2016,"69,22%","61,69%","56,96%","53,48%","50,48%","47,18%","43,60%","43,01%","41,74%","39,80%","38,96%","37,26%","36,70%","36,36%","34,28%","33,80%","32,99%","32,39%","31,72%","29,99%","29,55%","28,47%","28,11%","26,71%","26,37%","25,10%","24,16%","22,90%","22,66%",,,,,,,,,,,,,,,,,,,,,,
3/7/2016,"66,21%","58,79%","54,47%","50,16%","48,09%","44,47%","42,14%","40,48%","39,54%","38,36%","37,30%","35,82%","35,24%","35,70%","35,03%","33,26%","33,17%","32,10%","31,44%","30,26%","29,31%","28,45%","27,95%","27,18%","26,02%","25,52%","25,55%","24,20%","22,89%","22,44%",,,,,,,,,,,,,,,,,,,,,
2/29/2016,"65,01%","59,10%","54,71%","50,80%","47,07%","44,37%","43,18%","41,03%","38,63%","38,16%","36,70%","35,69%","34,56%","33,82%","34,21%","33,53%","32,53%","31,37%","30,68%","29,88%","29,38%","28,48%","27,60%","26,80%","26,18%","25,25%","24,31%","24,06%","23,09%","21,83%","21,04%",,,,,,,,,,,,,,,,,,,,
2/22/2016,"65,61%","57,80%","53,76%","51,61%","47,82%","44,38%","42,02%","40,23%","38,51%","36,40%","35,49%","34,89%","34,01%","32,82%","32,43%","31,75%","31,31%","31,38%","29,93%","30,10%","28,63%","27,43%","26,96%","26,71%","26,57%","24,63%","23,99%","23,43%","23,28%","22,42%","21,10%","20,57%",,,,,,,,,,,,,,,,,,,
2/15/2016,"57,18%","51,16%","45,87%","43,39%","40,36%","38,67%","36,50%","35,45%","33,38%","32,10%","31,08%","30,27%","29,54%","28,74%","27,98%","27,09%","27,21%","27,62%","26,93%","25,28%","25,33%","24,82%","24,21%","23,01%","22,73%","22,16%","21,52%","20,52%","19,75%","19,28%","19,25%","17,91%","17,85%",,,,,,,,,,,,,,,,,,
2/8/2016,"59,59%","52,66%","48,08%","45,57%","43,51%","40,73%","38,71%","36,85%","34,91%","34,07%","33,06%","31,49%","30,49%","30,13%","29,84%","28,76%","28,33%","28,57%","27,88%","26,49%","26,53%","26,46%","25,98%","25,14%","24,45%","23,64%","23,48%","22,71%","21,82%","21,42%","21,45%","19,96%","19,31%","18,61%",,,,,,,,,,,,,,,,,
2/1/2016,"51,76%","46,82%","43,05%","39,97%","37,91%","35,95%","35,06%","33,02%","31,62%","30,79%","29,02%","28,47%","27,28%","26,66%","25,79%","25,49%","25,40%","24,43%","24,84%","24,57%","23,60%","23,13%","22,84%","22,37%","22,08%","21,10%","20,69%","20,09%","19,36%","18,96%","18,76%","17,82%","17,87%","17,01%","16,64%",,,,,,,,,,,,,,,,
1/25/2016,"66,81%","58,39%","54,59%","51,42%","48,57%","45,75%","43,25%","42,36%","40,19%","39,25%","37,23%","36,27%","34,73%","33,41%","32,70%","32,51%","31,68%","31,02%","30,35%","30,31%","30,35%","29,95%","28,97%","28,45%","27,99%","27,59%","27,09%","25,50%","25,81%","24,94%","24,08%","24,19%","23,41%","22,46%","21,48%","20,60%",,,,,,,,,,,,,,,
1/18/2016,"65,01%","56,93%","52,74%","49,01%","45,59%","43,85%","42,48%","40,82%","39,25%","37,88%","35,96%","35,34%","33,90%","33,04%","32,12%","30,74%","29,83%","30,21%","29,32%","28,50%","28,84%","28,59%","28,22%","27,29%","27,34%","26,25%","26,36%","25,45%","25,11%","24,38%","23,31%","22,74%","22,49%","21,54%","21,36%","20,20%","20,05%",,,,,,,,,,,,,,
1/11/2016,"60,79%","53,66%","47,62%","44,91%","43,02%","40,40%","39,13%","37,63%","36,48%","35,65%","33,77%","32,84%","31,28%","29,90%","28,92%","28,28%","27,87%","27,68%","27,57%","26,93%","26,46%","26,11%","26,64%","25,39%","24,61%","24,91%","24,62%","24,02%","23,67%","22,81%","22,79%","21,73%","21,71%","21,68%","20,80%","20,35%","19,49%","19,10%",,,,,,,,,,,,,
1/4/2016,"68,62%","60,43%","55,68%","50,96%","48,15%","46,99%","44,40%","42,78%","41,00%","40,09%","38,93%","37,58%","36,47%","35,14%","34,82%","33,47%","33,29%","31,82%","32,28%","31,65%","31,61%","30,08%","30,56%","30,47%","29,41%","28,83%","29,32%","28,22%","28,16%","27,55%","26,79%","25,65%","25,76%","24,76%","25,05%","24,07%","22,67%","22,36%","21,66%",,,,,,,,,,,,
12/28/2015,"67,41%","61,02%","55,89%","51,78%","48,99%","46,21%","45,23%","42,85%","41,86%","40,02%","39,54%","37,80%","36,55%","35,26%","34,97%","34,18%","33,03%","31,66%","31,50%","31,50%","31,05%","29,95%","29,72%","29,40%","30,33%","29,26%","28,17%","28,44%","27,97%","27,23%","26,85%","26,39%","25,74%","25,20%","24,04%","23,92%","22,86%","22,39%","21,38%","21,15%",,,,,,,,,,,
12/21/2015,"51,76%","44,85%","41,62%","39,67%","36,79%","35,23%","33,59%","32,83%","31,13%","30,27%","29,78%","28,78%","28,09%","28,16%","26,50%","25,63%","25,53%","24,37%","23,79%","23,58%","23,01%","23,45%","22,96%","22,52%","22,80%","23,14%","21,53%","21,48%","21,59%","21,36%","20,79%","20,19%","19,85%","19,74%","19,35%","18,61%","18,33%","17,95%","17,21%","16,66%","16,26%",,,,,,,,,,
12/14/2015,"60,79%","54,44%","49,15%","45,74%","43,16%","41,05%","39,11%","38,28%","37,04%","36,16%","34,72%","33,30%","33,18%","32,38%","31,64%","30,92%","30,11%","29,65%","29,07%","27,76%","27,90%","27,45%","27,48%","27,71%","26,74%","27,31%","27,26%","26,37%","26,03%","25,68%","25,45%","24,39%","24,00%","23,85%","23,47%","22,83%","22,22%","22,20%","21,89%","21,11%","20,53%","19,96%",,,,,,,,,
12/7/2015,"59,59%","52,89%","48,32%","45,63%","42,81%","41,14%","38,64%","36,85%","35,71%","35,19%","34,35%","32,57%","32,09%","32,11%","31,25%","30,12%","29,88%","29,52%","27,97%","28,01%","27,30%","26,74%","26,44%","26,25%","26,55%","25,65%","25,73%","26,12%","25,77%","24,44%","24,63%","24,09%","23,91%","23,04%","23,18%","22,12%","21,68%","21,41%","20,78%","20,63%","19,70%","19,50%","19,02%",,,,,,,,
11/30/2015,"58,99%","50,22%","46,73%","43,87%","39,83%","38,18%","36,54%","36,03%","34,81%","33,29%","32,58%","32,00%","30,39%","29,79%","29,64%","29,62%","28,82%","28,35%","27,02%","27,02%","25,70%","25,03%","24,93%","25,37%","24,71%","23,92%","23,38%","24,36%","23,60%","23,11%","22,95%","22,61%","22,90%","22,63%","22,00%","21,40%","20,68%","20,54%","19,70%","19,94%","19,87%","19,07%","18,22%","17,82%",,,,,,,
11/23/2015,"67,41%","59,31%","54,62%","49,65%","47,52%","43,18%","42,94%","40,94%","39,35%","37,42%","37,30%","36,04%","35,51%","34,44%","34,25%","32,86%","33,18%","32,67%","31,47%","30,20%","30,32%","29,16%","29,02%","28,38%","27,74%","27,83%","27,27%","27,12%","27,98%","27,42%","27,51%","26,69%","26,22%","25,72%","25,26%","25,18%","24,13%","24,07%","23,53%","22,57%","22,24%","21,95%","21,65%","20,67%","20,13%",,,,,,
11/16/2015,"66,21%","58,01%","53,73%","48,21%","45,04%","42,50%","40,14%","38,95%","38,82%","37,03%","35,27%","34,09%","33,93%","32,38%","32,22%","31,98%","30,98%","31,11%","30,25%","28,95%","28,47%","28,39%","26,99%","26,60%","27,14%","26,69%","26,27%","26,12%","26,08%","26,25%","26,66%","25,95%","24,83%","25,44%","25,18%","24,52%","23,74%","22,99%","22,62%","22,74%","22,47%","22,01%","21,37%","20,66%","19,81%","19,49%",,,,,
11/9/2015,"57,78%","50,02%","47,29%","43,77%","40,11%","37,61%","36,01%","33,65%","32,52%","32,12%","31,17%","29,76%","29,61%","29,31%","28,26%","28,12%","27,71%","27,42%","26,81%","27,07%","25,47%","25,78%","25,02%","24,44%","23,66%","23,83%","23,89%","23,34%","23,54%","23,22%","23,86%","24,06%","23,45%","23,20%","23,06%","22,29%","21,82%","21,90%","21,50%","21,10%","20,44%","19,55%","19,67%","19,08%","18,50%","17,78%","17,42%",,,,
11/2/2015,"58,99%","51,94%","46,65%","44,78%","41,44%","38,80%","36,35%","35,17%","33,61%","31,85%","31,60%","30,21%","28,92%","28,64%","28,69%","27,24%","27,36%","27,35%","26,50%","26,17%","26,66%","25,40%","25,08%","24,19%","24,25%","23,56%","23,60%","23,64%","23,69%","23,25%","22,61%","23,23%","23,20%","22,24%","21,69%","22,39%","21,84%","21,34%","21,07%","20,37%","20,35%","20,11%","19,65%","19,09%","19,16%","18,45%","17,42%","17,05%",,,
10/26/2015,"58,99%","50,54%","45,61%","42,17%","40,05%","37,58%","34,75%","33,92%","32,44%","29,93%","30,06%","28,90%","28,18%","27,10%","26,46%","26,21%","25,70%","25,18%","25,15%","24,95%","24,35%","23,91%","23,34%","22,58%","22,73%","22,23%","21,48%","21,17%","21,56%","21,39%","21,47%","20,71%","20,57%","21,32%","20,56%","20,26%","20,20%","20,40%","19,89%","19,76%","18,89%","19,14%","18,69%","18,08%","17,84%","17,59%","17,10%","16,45%","16,01%",,
10/19/2015,"51,76%","44,92%","39,78%","37,01%","33,78%","32,39%","30,38%","28,55%","27,91%","26,67%","25,23%","24,56%","24,73%","24,19%","22,18%","22,47%","22,17%","21,37%","21,19%","21,05%","20,90%","20,21%","19,96%","19,52%","19,34%","19,20%","18,64%","18,23%","17,78%","17,89%","17,45%","17,64%","17,16%","17,53%","17,68%","17,40%","17,06%","16,86%","16,75%","16,38%","16,17%","16,05%","15,97%","15,67%","15,53%","14,62%","14,86%","14,45%","14,02%","13,42%",
10/12/2015,"57,78%","49,02%","43,78%","39,40%","36,78%","33,66%","32,77%","30,85%","29,12%","27,54%","26,79%","25,52%","24,31%","24,10%","23,33%","23,04%","22,67%","22,91%","22,90%","23,20%","22,45%","22,64%","22,07%","21,40%","21,23%","21,18%","21,07%","20,14%","20,32%","20,29%","20,01%","20,16%","19,64%","19,47%","20,31%","20,30%","19,99%","19,53%","19,48%","19,69%","19,37%","19,40%","18,44%","18,76%","18,48%","18,50%","17,78%","17,33%","17,22%","16,49%","16,00%"
10/5/2015,"58,38%","49,92%","45,55%","43,37%","37,52%","35,44%","34,02%","32,74%","30,87%","29,06%","28,05%","26,31%","25,40%","25,30%","24,76%","23,92%","22,49%","22,67%","22,63%","22,35%","22,11%","21,44%","22,06%","21,34%","20,71%","20,33%","19,98%","19,64%","19,36%","18,77%","18,73%","18,87%","18,51%","18,23%","18,59%","18,55%","18,36%","18,50%","18,01%","17,97%","17,90%","17,95%","17,10%","16,82%","16,47%","15,56%","15,06%","14,72%","14,88%","14,12%","14,15%"
