,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2016,"46,75%","41,45%","36,98%","34,68%","32,04%","30,07%","28,67%","27,41%","25,81%","24,55%","23,67%","22,57%","21,59%","20,65%","19,87%","18,90%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,"49,39%","45,04%","39,88%","36,90%","35,42%","33,95%","32,11%","30,25%","28,69%","26,79%","26,06%","25,48%","24,13%","22,88%","22,09%","20,65%","20,32%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2016,"47,63%","43,28%","39,52%","36,86%","34,78%","33,07%","31,43%","29,63%","27,62%","26,61%","25,79%","25,06%","23,36%","22,32%","22,16%","21,02%","20,16%","19,27%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2016,"41,01%","36,25%","33,68%","32,21%","30,49%","28,27%","27,27%","26,17%","24,63%","23,45%","22,46%","21,51%","20,83%","20,08%","19,22%","18,33%","18,00%","16,85%","16,09%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2016,"44,10%","38,74%","36,24%","34,97%","32,49%","30,65%","28,94%","27,73%","26,92%","25,74%","24,77%","23,95%","22,59%","21,81%","20,65%","20,20%","19,52%","18,61%","18,02%","17,41%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2016,"42,34%","38,08%","34,50%","32,89%","31,33%","29,78%","28,84%","27,69%","26,16%","25,55%","24,26%","23,64%","22,28%","21,47%","20,38%","19,66%","19,54%","18,87%","18,07%","17,15%","16,76%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2016,"43,66%","38,85%","35,95%","34,12%","32,16%","30,76%","29,77%","28,78%","27,08%","26,74%","25,93%","25,23%","23,70%","23,02%","22,27%","21,20%","20,86%","19,99%","18,96%","18,46%","17,66%","17,13%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2016,"43,66%","38,64%","35,35%","33,74%","32,37%","30,64%","29,66%","28,84%","27,09%","26,18%","25,93%","24,92%","23,79%","23,08%","22,05%","21,86%","20,59%","20,10%","19,57%","18,95%","17,83%","17,28%","16,75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2016,"38,81%","34,54%","31,90%","29,79%","28,55%","27,62%","26,46%","25,28%","25,24%","24,02%","22,83%","22,49%","22,06%","21,10%","20,12%","19,74%","19,05%","18,68%","17,89%","17,58%","17,05%","16,21%","15,30%","15,15%",,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2016,"42,78%","37,37%","34,55%","33,17%","31,02%","30,48%","29,14%","27,29%","26,79%","26,68%","25,42%","24,84%","24,07%","24,03%","22,82%","22,21%","21,21%","20,74%","19,94%","18,90%","18,69%","17,84%","17,04%","16,81%","16,17%",,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2016,"47,63%","42,57%","39,44%","36,72%","34,94%","33,39%","32,41%","31,38%","29,64%","29,33%","29,37%","27,75%","27,14%","26,21%","26,06%","25,00%","23,79%","23,10%","22,63%","21,52%","21,11%","20,76%","19,82%","19,07%","17,99%","17,40%",,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2016,"41,45%","36,29%","33,85%","31,75%","29,73%","28,86%","27,42%","25,98%","25,40%","24,34%","24,20%","23,91%","22,93%","22,27%","22,43%","21,09%","20,75%","19,91%","19,51%","19,07%","18,47%","17,91%","17,35%","16,74%","16,00%","15,39%","14,84%",,,,,,,,,,,,,,,,,,,,,,,,
3/21/2016,"49,39%","44,37%","40,69%","37,83%","35,64%","33,54%","32,72%","30,93%","30,29%","28,77%","28,57%","28,08%","27,08%","26,58%","25,55%","25,55%","24,38%","23,90%","22,90%","22,00%","21,76%","21,40%","20,66%","20,03%","19,50%","19,08%","17,66%","17,33%",,,,,,,,,,,,,,,,,,,,,,,
3/14/2016,"48,51%","43,15%","39,48%","36,81%","34,96%","32,80%","31,43%","29,93%","28,87%","27,56%","26,68%","25,98%","25,72%","25,28%","24,49%","23,41%","23,08%","23,11%","22,30%","21,08%","20,83%","20,24%","19,76%","18,61%","18,37%","17,75%","17,07%","16,13%","15,88%",,,,,,,,,,,,,,,,,,,,,,
3/7/2016,"47,63%","41,82%","39,70%","36,37%","34,59%","32,18%","30,50%","29,06%","28,61%","27,32%","27,35%","25,90%","25,27%","25,81%","25,20%","24,29%","23,95%","23,44%","22,82%","21,88%","21,13%","20,36%","19,94%","19,37%","18,68%","18,56%","18,18%","17,23%","16,70%","16,30%",,,,,,,,,,,,,,,,,,,,,
2/29/2016,"45,42%","40,81%","37,62%","35,61%","32,89%","31,44%","29,88%","28,50%","27,27%","26,19%","25,14%","24,94%","24,47%","24,06%","23,85%","23,73%","22,37%","21,64%","21,44%","21,17%","20,53%","19,88%","19,42%","18,67%","18,11%","17,77%","17,38%","16,38%","15,97%","15,63%","15,12%",,,,,,,,,,,,,,,,,,,,
2/22/2016,"41,45%","36,67%","33,97%","31,78%","30,10%","27,79%","26,63%","25,27%","24,11%","23,16%","22,97%","21,87%","21,60%","20,72%","20,15%","20,30%","20,32%","19,36%","19,10%","18,85%","18,33%","17,35%","17,24%","16,73%","16,82%","15,75%","15,30%","15,08%","14,98%","13,98%","13,58%","13,14%",,,,,,,,,,,,,,,,,,,
2/15/2016,"47,19%","41,72%","37,96%","35,98%","34,11%","32,04%","30,88%","28,82%","28,13%","26,27%","25,80%","25,25%","24,38%","23,58%","23,39%","22,54%","22,61%","22,59%","22,07%","21,13%","20,55%","20,13%","20,00%","19,01%","18,66%","18,47%","17,49%","17,07%","16,51%","16,37%","15,67%","15,16%","14,69%",,,,,,,,,,,,,,,,,,
2/8/2016,"47,19%","42,07%","37,96%","36,09%","34,04%","32,12%","30,53%","28,72%","27,73%","27,09%","25,97%","25,01%","24,71%","24,12%","23,68%","23,19%","22,50%","22,38%","21,99%","21,36%","20,72%","20,66%","20,27%","19,93%","19,31%","18,84%","18,63%","17,98%","17,30%","16,86%","16,75%","15,95%","15,54%","15,11%",,,,,,,,,,,,,,,,,
2/1/2016,"49,83%","45,39%","41,65%","38,94%","35,92%","35,16%","33,28%","32,46%","30,63%","28,82%","28,51%","26,81%","26,90%","26,03%","24,70%","24,97%","23,99%","23,83%","23,70%","23,91%","22,95%","22,40%","22,21%","21,67%","21,04%","20,56%","19,68%","18,90%","18,68%","18,22%","18,08%","17,31%","17,17%","16,44%","16,17%",,,,,,,,,,,,,,,,
1/25/2016,"39,25%","34,54%","31,62%","30,21%","28,11%","26,45%","25,82%","25,18%","24,04%","22,56%","21,57%","21,22%","20,04%","19,63%","19,54%","19,19%","18,91%","18,59%","18,07%","18,04%","17,77%","17,11%","16,85%","17,00%","16,48%","16,11%","15,68%","15,34%","15,01%","14,61%","14,53%","13,90%","13,75%","13,12%","12,73%","12,18%",,,,,,,,,,,,,,,
1/18/2016,"50,27%","43,81%","41,19%","38,02%","36,04%","33,74%","32,07%","31,57%","29,85%","29,26%","28,46%","27,01%","26,04%","25,50%","24,16%","24,18%","23,40%","23,25%","22,70%","22,42%","22,13%","22,18%","21,46%","20,94%","21,20%","20,34%","20,43%","19,92%","19,27%","18,89%","18,25%","17,78%","17,65%","17,10%","16,25%","15,73%","15,23%",,,,,,,,,,,,,,
1/11/2016,"45,42%","39,73%","35,94%","33,93%","32,21%","30,73%","29,44%","27,83%","26,85%","26,14%","25,33%","24,61%","23,14%","22,48%","22,07%","21,47%","20,76%","20,58%","20,95%","19,86%","19,27%","19,79%","19,69%","19,28%","18,83%","18,59%","18,42%","17,91%","17,22%","16,87%","17,01%","16,35%","16,14%","16,20%","15,44%","15,47%","14,47%","14,41%",,,,,,,,,,,,,
1/4/2016,"45,42%","40,40%","37,27%","34,01%","32,13%","30,40%","29,07%","28,26%","27,71%","26,72%","25,82%","25,08%","24,43%","23,40%","22,87%","22,44%","21,53%","21,00%","20,78%","20,95%","20,67%","19,91%","20,03%","19,93%","19,57%","19,07%","19,16%","18,59%","18,42%","18,10%","17,93%","17,34%","17,09%","16,57%","16,39%","16,07%","14,95%","14,73%","14,11%",,,,,,,,,,,,
12/28/2015,"49,39%","44,75%","41,99%","37,67%","35,08%","34,37%","33,27%","31,65%","30,85%","29,55%","28,54%","27,67%","27,13%","26,41%","25,75%","25,11%","24,08%","23,36%","23,59%","22,83%","22,77%","22,06%","21,58%","22,00%","21,70%","21,61%","20,72%","20,86%","20,37%","20,21%","19,51%","19,28%","18,61%","18,55%","17,60%","17,49%","16,93%","16,65%","15,76%","15,50%",,,,,,,,,,,
12/21/2015,"39,69%","34,15%","32,62%","30,35%","28,52%","27,23%","25,73%","25,40%","23,97%","23,51%","22,86%","22,31%","21,45%","21,62%","20,03%","19,69%","19,62%","19,00%","18,55%","18,32%","17,71%","18,01%","17,79%","17,28%","17,31%","17,45%","16,79%","16,30%","16,79%","16,15%","16,02%","15,58%","15,01%","15,07%","14,92%","14,23%","13,94%","13,64%","13,01%","12,64%","12,58%",,,,,,,,,,
12/14/2015,"37,49%","33,31%","29,98%","28,20%","27,12%","25,24%","24,26%","23,56%","22,56%","21,74%","21,43%","20,97%","20,54%","20,01%","19,82%","18,72%","18,79%","18,32%","17,75%","17,34%","17,31%","17,08%","17,25%","16,88%","16,89%","17,06%","16,81%","16,29%","16,14%","16,09%","15,55%","15,30%","15,14%","14,74%","14,47%","14,29%","13,91%","13,80%","13,75%","13,16%","12,42%","12,02%",,,,,,,,,
12/7/2015,"42,34%","37,91%","34,95%","32,48%","30,39%","29,14%","27,98%","26,49%","25,37%","25,03%","24,43%","23,71%","22,46%","22,50%","22,14%","21,90%","20,95%","20,72%","20,01%","19,94%","19,44%","18,88%","18,73%","18,82%","18,58%","18,17%","18,13%","18,64%","18,07%","17,47%","17,54%","17,34%","16,73%","16,46%","16,16%","15,72%","15,49%","15,02%","14,97%","14,66%","14,16%","13,55%","13,69%",,,,,,,,
11/30/2015,"39,25%","33,75%","31,03%","29,14%","26,82%","25,58%","24,85%","23,59%","22,85%","22,04%","21,66%","21,00%","20,77%","20,36%","19,76%","19,87%","18,98%","18,60%","18,16%","17,50%","17,00%","16,62%","16,67%","16,71%","16,28%","16,22%","15,51%","16,01%","15,99%","15,64%","15,41%","15,43%","14,90%","14,85%","14,63%","14,01%","13,72%","13,29%","13,18%","13,32%","13,00%","12,64%","12,23%","11,94%",,,,,,,
11/23/2015,"39,69%","34,57%","32,16%","29,26%","27,75%","25,99%","25,51%","24,37%","23,31%","22,23%","21,74%","21,14%","21,14%","20,34%","20,35%","19,74%","19,16%","19,10%","18,20%","17,93%","17,55%","17,39%","17,05%","16,88%","16,09%","16,52%","15,92%","16,24%","16,54%","16,23%","15,77%","15,48%","15,48%","15,24%","15,13%","14,87%","14,49%","14,19%","13,66%","13,49%","13,26%","12,75%","12,82%","12,09%","12,05%",,,,,,
11/16/2015,"38,37%","34,57%","31,01%","28,16%","26,49%","24,78%","23,33%","23,07%","21,99%","21,63%","20,13%","19,64%","19,41%","18,72%","18,71%","18,09%","18,12%","18,14%","17,30%","16,76%","16,67%","16,14%","16,05%","15,54%","15,68%","15,40%","15,47%","15,37%","15,02%","15,24%","15,37%","14,67%","14,63%","14,60%","14,45%","14,45%","13,78%","13,48%","13,20%","13,23%","12,83%","12,58%","12,27%","11,91%","11,56%","11,34%",,,,,
11/9/2015,"42,78%","38,05%","34,11%","32,34%","29,40%","28,52%","26,71%","24,47%","24,29%","23,88%","22,92%","21,92%","21,94%","21,49%","20,76%","20,78%","20,39%","20,28%","19,81%","19,78%","18,89%","18,93%","18,40%","17,97%","17,38%","17,75%","17,53%","17,31%","17,73%","17,37%","17,70%","18,10%","17,00%","16,82%","16,72%","16,64%","16,33%","15,81%","16,26%","15,64%","15,28%","14,53%","14,67%","14,10%","13,67%","13,35%","12,72%",,,,
11/2/2015,"37,93%","32,64%","30,15%","29,20%","26,70%","24,75%","23,23%","22,41%","21,46%","20,31%","20,14%","19,87%","18,78%","18,42%","18,39%","17,74%","17,19%","17,34%","16,95%","17,17%","17,09%","16,22%","16,06%","15,85%","15,39%","15,39%","15,16%","15,01%","15,01%","14,92%","14,32%","14,67%","14,73%","14,39%","14,31%","14,27%","14,00%","13,58%","13,49%","13,18%","13,32%","12,90%","12,42%","12,51%","12,26%","11,70%","11,42%","11,19%",,,
10/26/2015,"49,39%","41,81%","37,62%","35,67%","33,40%","30,66%","28,49%","27,73%","26,89%","24,94%","24,63%","24,42%","23,45%","22,72%","22,24%","21,79%","21,43%","21,00%","20,56%","20,93%","19,96%","20,08%","19,25%","18,89%","18,94%","18,30%","18,08%","17,66%","17,82%","17,89%","17,50%","17,29%","17,38%","17,71%","17,33%","16,83%","17,12%","17,10%","16,52%","16,53%","15,80%","15,96%","15,67%","14,90%","14,98%","14,38%","14,12%","13,83%","13,17%",,
10/19/2015,"47,19%","40,18%","35,50%","34,04%","30,95%","30,16%","27,97%","26,05%","25,47%","24,77%","23,00%","22,68%","22,59%","21,64%","20,36%","20,64%","20,13%","19,86%","19,32%","19,09%","18,75%","18,81%","18,20%","17,60%","17,80%","17,07%","16,82%","16,41%","16,65%","16,32%","16,31%","16,19%","15,49%","15,82%","16,11%","15,58%","15,64%","15,51%","15,37%","15,30%","14,71%","14,66%","14,47%","14,17%","13,99%","13,44%","13,37%","13,14%","12,88%","12,36%",
10/12/2015,"44,98%","37,89%","34,01%","31,36%","28,86%","26,57%","26,00%","23,64%","22,37%","21,06%","20,98%","19,89%","18,68%","18,99%","18,11%","18,11%","18,00%","17,85%","17,75%","18,09%","17,27%","17,50%","17,37%","16,84%","16,70%","16,60%","16,41%","15,62%","15,76%","15,55%","15,70%","15,68%","15,44%","15,21%","15,51%","15,94%","15,30%","15,33%","15,15%","15,31%","15,12%","15,19%","14,49%","14,37%","14,75%","14,10%","13,95%","13,70%","13,34%","12,94%","12,53%"
10/5/2015,"44,54%","37,89%","34,65%","32,50%","29,00%","27,39%","25,91%","24,33%","23,15%","21,90%","20,93%","20,35%","19,28%","19,13%","18,72%","17,94%","16,97%","16,92%","16,95%","16,78%","16,68%","16,16%","16,43%","16,07%","16,05%","15,57%","15,41%","14,93%","15,05%","14,65%","14,25%","14,02%","14,18%","13,98%","13,93%","14,04%","13,92%","13,98%","13,82%","13,75%","13,63%","13,61%","13,01%","13,19%","12,66%","12,03%","11,56%","11,43%","11,15%","10,95%","10,51%"
