,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2016,"54,00%","46,78%","43,68%","39,53%","37,53%","34,15%","33,41%","31,09%","29,39%","27,93%","26,22%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2016,"57,24%","50,05%","45,64%","40,92%","37,96%","36,67%","33,47%","32,65%","30,38%","29,50%","27,74%","26,24%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2016,"52,38%","45,61%","41,99%","38,30%","34,71%","33,54%","31,72%","29,89%","28,71%","27,28%","25,62%","23,98%","23,03%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2016,"49,68%","44,53%","40,04%","37,31%","33,64%","31,84%","29,81%","28,31%","26,81%","25,62%","24,96%","23,47%","22,09%","20,90%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2016,"47,52%","41,82%","38,11%","35,38%","32,47%","30,95%","28,72%","27,53%","25,79%","24,24%","23,80%","22,40%","21,86%","20,51%","19,60%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2016,"55,62%","48,83%","44,31%","40,85%","38,89%","36,51%","34,80%","32,20%","30,65%","29,29%","27,53%","27,40%","25,77%","24,50%","23,39%","22,26%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,"50,22%","44,94%","40,80%","37,56%","36,52%","34,45%","32,78%","30,45%","29,05%","27,41%","26,50%","25,37%","24,22%","23,49%","22,71%","21,23%","20,44%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2016,"58,86%","53,28%","49,67%","46,01%","43,07%","40,33%","38,42%","36,69%","34,27%","33,35%","31,49%","30,08%","29,42%","27,79%","27,36%","25,84%","24,32%","23,91%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2016,"56,16%","49,44%","47,14%","44,42%","41,29%","38,13%","36,97%","35,30%","33,42%","32,46%","31,07%","29,93%","28,92%","27,00%","26,01%","25,02%","24,04%","22,64%","22,19%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2016,"59,94%","52,71%","48,72%","46,45%","44,70%","41,04%","39,50%","38,30%","36,41%","34,50%","33,00%","32,49%","30,74%","29,52%","28,44%","27,18%","26,42%","25,75%","24,44%","23,56%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2016,"49,14%","44,11%","40,12%","37,83%","36,07%","34,88%","33,57%","32,02%","31,07%","29,18%","28,02%","26,69%","26,25%","24,92%","23,80%","22,80%","22,10%","21,28%","20,50%","19,63%","19,03%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2016,"58,86%","53,01%","48,12%","46,04%","43,31%","42,14%","40,73%","39,07%","36,88%","36,23%","34,13%","33,08%","32,63%","30,43%","29,34%","29,16%","27,37%","26,64%","25,74%","24,59%","23,57%","23,04%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2016,"59,40%","52,68%","47,95%","47,02%","43,25%","41,23%","40,35%","39,15%","37,52%","35,30%","35,04%","34,00%","32,20%","31,09%","30,42%","29,39%","28,47%","27,24%","26,39%","25,89%","24,35%","23,37%","22,72%",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2016,"48,60%","42,22%","40,76%","37,31%","36,30%","33,70%","32,45%","32,49%","30,80%","29,93%","28,65%","28,11%","27,28%","25,94%","25,14%","24,79%","23,90%","23,14%","22,52%","21,69%","20,97%","20,46%","19,63%","18,69%",,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2016,"52,92%","46,52%","43,56%","41,37%","39,35%","37,15%","36,12%","34,04%","33,82%","33,23%","30,94%","30,66%","29,62%","29,05%","28,12%","27,29%","26,40%","25,48%","24,32%","23,88%","22,71%","22,05%","21,59%","20,92%","19,94%",,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2016,"48,06%","43,17%","39,13%","37,31%","35,37%","33,02%","31,99%","31,04%","29,61%","29,69%","28,94%","28,68%","27,45%","26,87%","26,04%","24,48%","24,19%","23,12%","22,90%","21,65%","21,41%","20,68%","20,06%","19,16%","18,43%","17,74%",,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2016,"45,90%","40,47%","37,52%","35,12%","32,37%","31,26%","29,97%","29,18%","28,47%","27,41%","27,28%","26,44%","25,57%","25,05%","24,57%","23,35%","23,02%","22,45%","21,24%","20,55%","20,49%","19,82%","19,35%","18,65%","17,66%","17,28%","16,68%",,,,,,,,,,,,,,,,,,,,,,,,
3/21/2016,"61,56%","55,69%","50,66%","47,81%","44,46%","41,46%","40,66%","38,05%","37,38%","36,62%","34,76%","34,33%","34,64%","32,41%","31,49%","31,69%","30,15%","29,44%","28,15%","27,70%","27,15%","26,33%","25,47%","24,91%","24,30%","23,42%","22,01%","21,17%",,,,,,,,,,,,,,,,,,,,,,,
3/14/2016,"57,78%","51,65%","48,26%","44,07%","40,90%","39,03%","37,28%","35,87%","34,43%","33,29%","32,23%","31,35%","30,57%","30,50%","28,56%","28,25%","27,90%","27,34%","26,16%","24,98%","24,20%","24,23%","23,37%","22,12%","21,80%","21,15%","20,56%","19,68%","18,92%",,,,,,,,,,,,,,,,,,,,,,
3/7/2016,"50,76%","44,71%","41,38%","39,47%","36,18%","34,96%","32,37%","30,60%","30,25%","29,73%","29,23%","27,44%","26,82%","26,88%","27,10%","25,29%","25,30%","24,99%","23,79%","23,41%","23,11%","21,94%","21,19%","20,48%","20,19%","19,92%","19,09%","18,79%","17,52%","17,38%",,,,,,,,,,,,,,,,,,,,,
2/29/2016,"61,02%","55,59%","50,54%","47,45%","44,10%","42,24%","39,89%","37,68%","37,07%","35,68%","34,62%","34,01%","32,71%","31,39%","31,82%","31,07%","30,30%","29,39%","28,83%","28,33%","27,80%","26,63%","25,91%","24,98%","24,62%","23,80%","23,35%","22,52%","21,67%","20,95%","20,11%",,,,,,,,,,,,,,,,,,,,
2/22/2016,"56,70%","50,65%","46,98%","43,82%","40,51%","37,97%","36,21%","35,26%","33,22%","31,42%","31,01%","29,61%","29,15%","28,42%","27,87%","27,88%","27,44%","26,96%","26,44%","25,44%","25,10%","24,17%","23,21%","22,69%","22,37%","21,57%","20,61%","20,74%","20,43%","19,28%","18,18%","18,07%",,,,,,,,,,,,,,,,,,,
2/15/2016,"50,76%","45,37%","41,05%","38,28%","36,01%","34,75%","32,33%","31,13%","30,26%","28,35%","27,83%","27,11%","26,25%","25,62%","25,16%","24,00%","24,57%","24,06%","23,81%","22,46%","22,24%","21,72%","20,90%","20,45%","20,20%","19,30%","18,89%","18,60%","17,89%","17,47%","17,09%","15,87%","15,78%",,,,,,,,,,,,,,,,,,
2/8/2016,"47,52%","42,49%","38,84%","36,49%","34,46%","32,41%","30,63%","29,30%","27,70%","27,66%","26,00%","24,88%","24,76%","23,96%","23,42%","23,03%","22,46%","22,81%","22,33%","21,77%","21,12%","20,91%","20,20%","20,13%","19,27%","19,06%","18,46%","18,25%","17,63%","17,01%","17,14%","16,06%","15,65%","14,98%",,,,,,,,,,,,,,,,,
2/1/2016,"62,10%","55,72%","50,36%","48,47%","45,57%","43,26%","41,73%","40,38%","38,66%","36,75%","34,78%","33,38%","32,83%","32,14%","31,31%","30,62%","30,38%","29,46%","29,57%","29,45%","28,40%","27,66%","27,95%","27,00%","26,43%","25,59%","24,90%","24,25%","23,41%","22,75%","22,78%","21,88%","21,36%","20,68%","19,73%",,,,,,,,,,,,,,,,
1/25/2016,"47,52%","41,82%","38,44%","36,10%","33,90%","32,31%","31,45%","30,55%","29,07%","27,34%","26,14%","25,80%","24,92%","23,59%","23,82%","22,76%","22,96%","22,64%","21,83%","22,08%","21,37%","20,80%","20,79%","20,18%","19,95%","19,52%","19,10%","18,28%","18,49%","17,65%","17,59%","16,85%","16,63%","15,93%","15,37%","15,04%",,,,,,,,,,,,,,,
1/18/2016,"60,48%","53,50%","49,21%","46,15%","42,45%","41,53%","39,36%","37,56%","35,54%","34,96%","33,63%","32,98%","31,83%","30,89%","29,50%","28,46%","28,03%","28,08%","26,98%","26,84%","26,33%","26,28%","25,61%","25,67%","25,46%","25,02%","24,06%","23,98%","23,39%","22,72%","22,11%","21,18%","21,05%","20,12%","19,73%","19,00%","18,16%",,,,,,,,,,,,,,
1/11/2016,"58,86%","51,12%","46,39%","43,48%","41,41%","39,15%","37,81%","37,05%","35,75%","34,55%","33,36%","31,96%","29,95%","29,07%","28,17%","27,80%","27,50%","26,69%","26,58%","26,23%","25,12%","25,72%","25,62%","25,26%","24,33%","24,65%","23,96%","22,93%","22,67%","22,41%","22,09%","21,38%","20,71%","20,83%","20,36%","20,02%","18,81%","18,16%",,,,,,,,,,,,,
1/4/2016,"46,98%","40,96%","38,01%","35,95%","32,87%","31,44%","30,40%","29,23%","27,98%","27,07%","26,63%","26,12%","25,07%","24,18%","23,41%","23,17%","22,16%","22,07%","21,47%","21,22%","21,55%","20,88%","20,97%","20,76%","20,34%","20,08%","19,69%","19,73%","19,51%","18,64%","18,13%","17,53%","17,46%","17,38%","17,10%","16,71%","15,83%","14,96%","14,85%",,,,,,,,,,,,
12/28/2015,"55,62%","50,14%","47,42%","42,93%","40,18%","38,62%","37,72%","35,50%","34,75%","32,99%","32,72%","31,03%","30,19%","29,86%","28,97%","27,89%","27,11%","26,28%","26,52%","25,81%","25,62%","24,71%","25,04%","24,30%","24,73%","24,09%","22,99%","23,37%","22,87%","22,19%","21,80%","21,28%","21,38%","20,77%","20,24%","20,15%","18,91%","18,62%","17,99%","17,75%",,,,,,,,,,,
12/21/2015,"57,78%","50,37%","47,12%","44,14%","41,98%","39,40%","36,90%","37,04%","35,31%","34,19%","32,81%","32,35%","31,26%","30,91%","29,11%","28,84%","28,30%","27,44%","26,69%","26,43%","25,86%","26,17%","25,61%","24,71%","25,32%","25,86%","24,23%","24,19%","24,05%","23,81%","23,61%","23,09%","22,25%","21,99%","21,62%","21,09%","20,16%","20,00%","19,39%","18,34%","18,44%",,,,,,,,,,
12/14/2015,"59,40%","52,88%","47,74%","44,78%","43,11%","40,56%","38,67%","36,63%","35,68%","35,05%","34,00%","32,99%","32,56%","31,39%","30,92%","30,18%","29,84%","29,38%","28,01%","27,18%","27,13%","27,39%","27,28%","26,75%","26,55%","26,66%","26,87%","26,15%","25,28%","25,10%","24,62%","24,41%","23,52%","23,66%","22,82%","22,53%","22,11%","22,15%","21,51%","20,36%","19,64%","19,14%",,,,,,,,,
12/7/2015,"58,86%","51,77%","48,50%","44,54%","41,61%","40,56%","38,74%","36,51%","35,20%","34,31%","33,47%","32,31%","31,73%","31,65%","30,41%","29,97%","29,54%","28,87%","28,33%","27,75%","26,59%","26,28%","25,99%","26,09%","25,50%","25,24%","25,23%","25,70%","25,53%","24,19%","24,38%","23,94%","23,85%","23,39%","22,89%","22,05%","21,84%","20,80%","20,94%","20,70%","19,46%","18,93%","18,75%",,,,,,,,
11/30/2015,"54,00%","45,83%","42,14%","39,53%","37,01%","34,67%","33,92%","32,85%","31,40%","30,66%","30,00%","28,57%","27,96%","27,30%","27,27%","26,74%","26,73%","25,37%","24,71%","24,12%","23,01%","22,73%","23,21%","22,65%","22,76%","22,25%","21,85%","22,08%","21,78%","21,20%","20,72%","20,70%","20,51%","20,15%","19,98%","19,45%","19,08%","18,30%","18,02%","18,04%","17,79%","17,48%","16,58%","16,43%",,,,,,,
11/23/2015,"46,44%","41,02%","37,44%","34,27%","32,80%","30,38%","29,31%","28,66%","27,66%","25,91%","25,65%","25,23%","24,15%","23,77%","23,85%","23,05%","22,76%","22,06%","21,60%","21,38%","20,70%","19,79%","19,85%","19,98%","19,00%","19,62%","18,99%","19,12%","18,99%","19,24%","18,88%","18,15%","18,03%","17,83%","17,38%","17,17%","16,99%","16,50%","16,31%","15,63%","15,49%","15,36%","14,99%","14,45%","13,98%",,,,,,
11/16/2015,"50,22%","44,22%","40,47%","37,01%","33,92%","33,09%","31,12%","29,81%","28,87%","28,15%","26,48%","25,91%","25,58%","24,41%","24,66%","24,14%","23,69%","23,32%","23,04%","21,83%","21,71%","21,41%","20,43%","20,08%","20,51%","20,44%","19,97%","20,05%","19,55%","19,99%","19,76%","19,76%","18,81%","18,78%","18,93%","18,55%","18,13%","17,25%","17,24%","17,09%","16,77%","16,47%","15,91%","15,81%","14,84%","14,70%",,,,,
11/9/2015,"52,92%","46,37%","42,46%","39,33%","36,34%","35,28%","32,62%","30,27%","30,20%","29,86%","28,78%","27,15%","26,77%","26,29%","26,12%","25,37%","25,02%","25,04%","24,63%","24,42%","23,37%","23,61%","22,76%","22,03%","21,89%","21,89%","21,84%","21,85%","21,80%","21,29%","21,67%","22,37%","21,01%","20,76%","20,58%","20,77%","20,29%","19,84%","20,17%","19,19%","18,77%","18,12%","18,09%","17,77%","17,06%","16,23%","16,04%",,,,
11/2/2015,"58,32%","51,56%","45,98%","44,99%","41,14%","37,64%","35,76%","34,18%","32,70%","31,71%","31,37%","30,14%","29,06%","27,95%","28,31%","27,53%","26,73%","26,64%","26,23%","25,93%","25,92%","25,19%","24,50%","24,15%","23,57%","23,29%","22,73%","23,35%","23,45%","23,19%","22,09%","22,58%","22,85%","21,92%","21,66%","21,89%","21,72%","21,04%","20,77%","20,47%","20,20%","19,84%","19,14%","19,30%","18,85%","17,88%","17,24%","17,24%",,,
10/26/2015,"57,78%","49,95%","45,03%","41,56%","39,07%","36,31%","33,77%","32,25%","31,58%","29,91%","29,25%","28,63%","27,85%","26,36%","25,84%","25,90%","25,25%","24,47%","24,69%","24,17%","23,78%","23,12%","22,79%","22,12%","22,18%","21,53%","20,75%","20,84%","21,10%","20,68%","20,98%","20,00%","20,62%","20,83%","20,10%","19,78%","19,79%","19,57%","19,64%","19,17%","18,67%","18,34%","18,03%","17,76%","17,46%","16,84%","16,47%","16,39%","15,57%",,
10/19/2015,"52,92%","46,11%","39,98%","38,06%","34,68%","33,79%","30,77%","29,51%","28,48%","27,48%","25,61%","25,18%","24,81%","24,15%","22,72%","22,76%","23,05%","22,31%","21,75%","21,17%","20,82%","20,95%","20,62%","20,03%","19,81%","19,44%","19,19%","18,72%","18,60%","18,27%","17,89%","18,09%","17,77%","17,57%","18,20%","17,65%","17,27%","17,46%","17,26%","17,09%","16,47%","16,23%","16,25%","16,31%","16,00%","15,18%","14,99%","14,66%","14,46%","13,69%",
10/12/2015,"47,52%","39,79%","36,07%","32,53%","30,46%","28,15%","27,06%","25,40%","23,68%","22,36%","21,66%","20,89%","19,81%","20,32%","19,60%","19,17%","18,72%","18,91%","18,72%","18,85%","18,06%","18,51%","18,41%","17,58%","17,57%","17,43%","17,23%","16,88%","16,68%","16,44%","16,24%","16,80%","16,22%","16,02%","16,72%","16,51%","16,31%","16,21%","15,87%","16,02%","16,01%","16,02%","15,53%","15,49%","15,23%","15,18%","14,89%","14,53%","13,93%","13,51%","12,95%"
10/5/2015,"50,22%","43,51%","38,99%","36,64%","32,73%","30,55%","28,97%","27,71%","25,87%","24,67%","23,65%","22,38%","21,65%","21,26%","21,07%","20,66%","19,08%","19,25%","19,08%","18,90%","18,87%","18,57%","18,99%","18,50%","17,87%","17,88%","16,86%","16,81%","16,84%","16,19%","16,08%","15,94%","16,18%","15,51%","15,92%","15,97%","16,09%","16,05%","15,49%","15,52%","15,46%","15,16%","14,93%","14,79%","14,31%","13,26%","12,94%","12,80%","12,46%","12,16%","12,02%"
