,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2016,"59,40%","53,08%","49,18%","47,03%","43,89%","41,14%","38,87%","37,60%","35,53%","33,55%","32,37%","31,40%","29,83%","28,45%","27,54%","26,60%","26,05%","23,97%","23,54%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2016,"58,20%","52,47%","48,21%","46,24%","43,53%","40,73%","38,62%","37,04%","35,81%","34,45%","32,43%","31,45%","29,78%","28,95%","27,39%","26,52%","25,91%","24,78%","23,64%","22,84%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2016,"66,60%","60,56%","55,14%","51,84%","49,73%","46,75%","44,96%","43,69%","41,61%","39,67%","38,78%","36,94%","34,84%","33,74%","32,84%","31,62%","30,70%","29,46%","28,32%","26,98%","26,26%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2016,"55,80%","49,01%","45,49%","44,09%","40,21%","39,79%","38,08%","36,08%","34,92%","34,04%","32,36%","31,83%","30,26%","28,90%","27,98%","27,32%","26,00%","25,18%","24,23%","23,54%","22,39%","21,72%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2016,"55,20%","49,99%","45,33%","43,56%","40,84%","37,90%","36,86%","36,06%","34,38%","33,37%","32,30%","31,66%","30,26%","28,66%","27,88%","27,23%","26,30%","25,87%","24,42%","24,01%","22,40%","22,24%","21,47%",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2016,"60,00%","53,03%","49,92%","45,87%","44,32%","41,74%","40,34%","39,36%","38,29%","37,07%","35,22%","34,60%","34,11%","32,84%","31,35%","30,15%","29,42%","28,97%","27,36%","27,10%","26,10%","24,93%","23,80%","23,12%",,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2016,"66,60%","59,19%","54,77%","52,22%","48,40%","46,43%","44,92%","43,35%","42,73%","41,58%","39,37%","38,28%","37,28%","36,48%","36,00%","33,96%","32,60%","32,10%","30,76%","30,11%","28,43%","28,00%","26,52%","25,63%","24,63%",,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2016,"54,60%","49,04%","44,15%","42,14%","39,54%","38,47%","36,64%","35,30%","33,78%","33,36%","32,81%","31,97%","30,90%","29,95%","29,79%","27,81%","27,19%","26,16%","25,71%","24,65%","24,56%","23,14%","22,95%","22,19%","21,11%","20,54%",,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2016,"60,00%","52,63%","49,49%","46,65%","43,08%","40,54%","39,64%","37,65%","36,73%","35,62%","35,14%","34,32%","33,76%","32,10%","32,14%","30,46%","30,76%","29,40%","28,16%","26,89%","26,52%","25,65%","24,79%","24,36%","23,60%","22,71%","21,46%",,,,,,,,,,,,,,,,,,,,,,,,
3/21/2016,"55,20%","48,61%","45,79%","43,17%","39,47%","36,73%","36,17%","34,43%","33,22%","32,80%","31,14%","31,04%","30,23%","29,56%","28,81%","27,86%","27,14%","26,53%","25,52%","24,84%","24,39%","23,26%","22,91%","22,36%","21,48%","21,38%","19,80%","19,14%",,,,,,,,,,,,,,,,,,,,,,,
3/14/2016,"69,00%","61,25%","56,04%","52,52%","49,09%","45,64%","43,95%","42,79%","41,11%","39,79%","38,80%","36,62%","36,33%","35,46%","34,41%","33,63%","33,52%","32,61%","31,40%","30,41%","29,52%","28,87%","28,16%","26,63%","25,61%","25,07%","24,72%","22,95%","22,39%",,,,,,,,,,,,,,,,,,,,,,
3/7/2016,"64,20%","57,00%","53,72%","48,68%","45,67%","44,34%","40,94%","39,10%","38,30%","37,23%","36,90%","35,55%","34,24%","34,24%","33,73%","31,99%","31,65%","31,13%","30,82%","29,84%","28,66%","28,03%","26,72%","26,64%","25,54%","25,05%","24,29%","23,63%","22,74%","22,00%",,,,,,,,,,,,,,,,,,,,,
2/29/2016,"51,00%","45,27%","42,45%","40,14%","37,08%","34,74%","33,21%","31,81%","31,05%","29,79%","28,91%","27,86%","27,36%","26,58%","26,20%","26,65%","25,63%","24,29%","23,78%","23,37%","23,12%","22,28%","21,83%","20,92%","20,03%","19,79%","19,52%","18,78%","18,09%","17,10%","16,59%",,,,,,,,,,,,,,,,,,,,
2/22/2016,"66,00%","58,43%","54,63%","51,21%","46,78%","44,42%","42,78%","41,04%","38,90%","36,76%","36,43%","35,30%","34,49%","33,18%","31,79%","32,39%","31,91%","31,57%","29,99%","30,16%","29,07%","28,27%","27,13%","26,55%","26,46%","25,48%","24,21%","23,72%","23,87%","22,49%","21,48%","21,01%",,,,,,,,,,,,,,,,,,,
2/15/2016,"52,20%","46,15%","42,13%","39,69%","37,59%","35,91%","34,09%","31,72%","30,35%","29,63%","28,03%","27,52%","26,92%","26,00%","25,44%","24,96%","25,07%","25,19%","24,32%","23,56%","22,64%","22,34%","21,93%","20,92%","20,95%","20,05%","19,62%","18,96%","18,23%","17,68%","17,30%","16,52%","16,56%",,,,,,,,,,,,,,,,,,
2/8/2016,"56,40%","49,34%","46,38%","43,09%","40,81%","38,59%","36,57%","34,22%","32,74%","32,70%","31,38%","29,95%","29,27%","28,57%","28,33%","27,36%","26,47%","26,72%","26,31%","25,23%","25,01%","25,00%","24,00%","23,58%","23,26%","22,67%","22,22%","21,43%","21,03%","20,56%","20,51%","18,91%","18,71%","18,04%",,,,,,,,,,,,,,,,,
2/1/2016,"59,40%","53,78%","48,22%","46,23%","42,64%","41,25%","39,63%","38,08%","36,98%","34,98%","33,44%","32,70%","31,62%","31,12%","30,22%","29,37%","28,45%","28,15%","28,31%","28,39%","27,22%","26,25%","26,74%","25,62%","24,98%","24,60%","23,48%","22,74%","22,49%","22,02%","21,61%","20,47%","20,78%","19,78%","18,98%",,,,,,,,,,,,,,,,
1/25/2016,"58,80%","52,16%","47,80%","44,49%","41,77%","39,59%","38,57%","36,94%","35,05%","33,96%","33,00%","31,95%","30,44%","30,05%","29,59%","28,16%","27,77%","27,49%","27,12%","27,13%","26,33%","25,92%","25,50%","25,58%","24,56%","24,30%","24,06%","22,89%","22,70%","22,28%","21,47%","21,01%","20,60%","19,55%","18,81%","18,35%",,,,,,,,,,,,,,,
1/18/2016,"52,80%","45,73%","42,66%","40,17%","37,89%","35,86%","34,13%","32,89%","31,25%","30,70%","29,74%","28,08%","27,04%","26,43%","25,42%","25,32%","24,52%","24,15%","23,53%","23,48%","23,50%","23,04%","22,56%","22,17%","22,27%","21,86%","21,15%","20,34%","19,91%","19,78%","18,90%","18,55%","18,06%","17,76%","17,12%","16,30%","16,30%",,,,,,,,,,,,,,
1/11/2016,"57,60%","50,38%","46,17%","42,77%","40,76%","38,55%","37,56%","36,11%","34,88%","33,48%","32,12%","30,56%","30,02%","29,05%","27,90%","27,12%","26,78%","26,20%","25,91%","25,39%","24,48%","24,74%","24,82%","24,16%","23,65%","23,53%","23,75%","22,55%","22,10%","21,78%","21,59%","21,01%","20,53%","20,16%","19,61%","19,22%","18,46%","17,81%",,,,,,,,,,,,,
1/4/2016,"54,60%","48,13%","44,58%","40,92%","39,01%","36,35%","34,81%","34,18%","32,79%","32,19%","30,52%","30,57%","28,64%","28,30%","27,84%","26,79%","25,89%","25,99%","25,61%","25,06%","24,45%","24,03%","24,54%","24,32%","23,31%","23,01%","22,89%","22,73%","22,43%","21,88%","21,28%","20,54%","20,83%","20,14%","19,64%","19,02%","17,95%","17,62%","17,17%",,,,,,,,,,,,
12/28/2015,"56,40%","51,15%","47,37%","42,97%","39,86%","39,40%","37,50%","35,46%","34,92%","33,08%","32,19%","31,97%","30,71%","29,77%","29,05%","28,00%","27,19%","26,35%","26,84%","26,02%","25,82%","25,75%","25,01%","24,92%","25,32%","24,04%","23,99%","23,51%","22,87%","23,05%","22,26%","21,93%","21,53%","20,98%","20,30%","19,99%","19,32%","18,73%","18,14%","17,80%",,,,,,,,,,,
12/21/2015,"63,60%","55,77%","51,40%","49,08%","45,43%","42,94%","41,03%","40,65%","38,10%","37,15%","36,55%","35,46%","34,41%","33,92%","32,23%","31,36%","31,12%","29,58%","29,17%","29,35%","28,47%","28,52%","28,10%","27,42%","27,60%","27,68%","26,88%","25,97%","26,58%","26,34%","25,39%","25,14%","24,56%","24,11%","23,60%","23,00%","22,48%","21,99%","21,23%","20,43%","20,26%",,,,,,,,,,
12/14/2015,"62,40%","55,55%","49,96%","47,94%","44,84%","42,56%","40,31%","38,48%","37,71%","36,86%","35,46%","34,52%","34,68%","33,77%","32,97%","31,68%","31,03%","30,25%","29,34%","29,22%","28,87%","28,35%","28,69%","27,88%","27,31%","27,75%","27,67%","27,67%","26,53%","27,11%","25,89%","25,09%","25,31%","25,03%","24,51%","23,45%","23,20%","23,25%","22,49%","21,37%","20,65%","20,12%",,,,,,,,,
12/7/2015,"58,80%","51,56%","47,44%","44,13%","41,95%","40,40%","38,40%","36,07%","35,17%","34,76%","33,53%","32,83%","31,63%","31,68%","30,62%","29,67%","29,34%","28,64%","28,13%","27,53%","27,29%","26,68%","25,81%","25,80%","25,88%","24,79%","25,49%","26,11%","25,15%","24,31%","24,80%","24,11%","23,78%","22,86%","22,62%","22,27%","21,33%","20,80%","20,69%","20,29%","19,48%","18,95%","18,52%",,,,,,,,
11/30/2015,"55,80%","47,51%","44,64%","41,54%","38,24%","35,75%","34,67%","34,11%","32,48%","31,34%","30,97%","29,94%","28,98%","28,81%","27,98%","28,21%","27,70%","26,29%","25,54%","24,88%","24,19%","23,89%","23,61%","23,50%","23,00%","22,65%","22,29%","22,74%","22,19%","21,97%","21,99%","21,76%","21,08%","20,95%","20,28%","19,96%","19,94%","19,20%","18,79%","18,81%","18,40%","17,70%","17,20%","16,78%",,,,,,,
11/23/2015,"52,20%","45,19%","41,13%","38,52%","36,54%","34,11%","33,11%","31,48%","30,63%","29,24%","28,71%","28,16%","27,64%","27,34%","26,68%","25,47%","25,31%","25,35%","23,82%","23,77%","23,36%","22,69%","22,49%","22,02%","21,61%","22,03%","21,45%","20,98%","21,47%","21,47%","20,70%","20,67%","20,38%","20,04%","19,44%","19,48%","18,78%","18,22%","18,38%","17,81%","17,65%","17,11%","16,58%","15,87%","15,51%",,,,,,
11/16/2015,"64,80%","56,72%","51,29%","48,28%","44,61%","42,73%","39,80%","38,82%","36,95%","36,39%","34,86%","33,60%","33,01%","32,07%","31,41%","30,87%","30,36%","30,03%","29,88%","28,48%","28,04%","27,35%","26,55%","26,61%","26,30%","26,12%","25,69%","26,11%","25,15%","25,36%","25,86%","25,02%","24,40%","24,78%","24,06%","23,98%","22,93%","22,50%","22,63%","22,08%","21,55%","21,55%","20,38%","20,32%","19,44%","18,70%",,,,,
11/9/2015,"60,60%","53,74%","49,16%","46,00%","40,99%","39,25%","37,84%","34,90%","34,58%","33,86%","32,69%","31,81%","30,53%","30,32%","29,97%","29,25%","28,94%","28,53%","27,78%","28,27%","27,06%","27,20%","26,43%","25,71%","24,99%","24,99%","25,00%","24,88%","24,59%","24,18%","24,87%","25,64%","24,25%","23,94%","23,86%","23,97%","23,14%","22,85%","22,76%","22,04%","21,73%","20,84%","20,96%","20,37%","19,15%","18,91%","18,07%",,,,
11/2/2015,"60,00%","51,68%","47,40%","45,91%","42,28%","39,03%","37,05%","35,03%","33,37%","32,66%","32,05%","31,57%","29,30%","29,19%","28,64%","27,73%","27,26%","27,68%","27,12%","27,30%","26,69%","26,23%","25,80%","24,87%","24,42%","23,70%","24,03%","24,03%","23,93%","23,46%","22,90%","23,63%","23,30%","22,71%","22,24%","22,30%","22,17%","21,47%","21,58%","20,76%","21,09%","20,13%","19,58%","19,56%","19,35%","18,71%","17,85%","17,64%",,,
10/26/2015,"63,60%","54,54%","48,49%","46,48%","43,27%","39,52%","37,58%","35,60%","34,39%","32,04%","31,62%","31,89%","30,60%","28,87%","28,33%","28,45%","27,43%","27,42%","26,93%","26,55%","25,94%","25,84%","25,39%","24,17%","23,95%","23,35%","23,37%","22,60%","23,18%","22,60%","22,69%","22,13%","22,38%","22,51%","22,14%","21,93%","21,72%","21,98%","21,55%","21,35%","20,33%","20,31%","20,15%","19,24%","18,79%","18,74%","18,07%","17,95%","17,44%",,
10/19/2015,"58,20%","50,61%","44,46%","41,44%","38,86%","36,64%","33,95%","32,75%","31,76%","30,07%","28,42%","27,75%","27,83%","26,72%","25,04%","24,81%","24,63%","24,10%","24,36%","23,47%","23,15%","22,83%","22,92%","21,97%","21,55%","21,12%","20,66%","20,09%","20,55%","19,79%","19,90%","19,69%","19,31%","19,71%","20,17%","19,31%","19,37%","18,92%","18,66%","18,61%","18,09%","17,85%","18,10%","17,46%","17,31%","16,65%","16,71%","16,24%","15,59%","14,99%",
10/12/2015,"57,60%","48,23%","43,24%","40,19%","36,81%","33,99%","32,70%","30,66%","28,53%","26,99%","26,86%","25,39%","24,09%","24,27%","23,54%","23,10%","23,01%","22,83%","22,71%","22,76%","21,96%","22,64%","21,85%","21,65%","21,17%","20,73%","20,82%","20,18%","20,34%","20,17%","19,91%","20,38%","19,34%","19,34%","19,79%","20,18%","19,83%","19,70%","19,14%","19,67%","19,21%","19,49%","18,38%","18,46%","18,79%","18,09%","18,05%","17,47%","17,16%","16,23%","15,77%"
10/5/2015,"57,60%","50,20%","44,94%","42,15%","37,50%","34,72%","33,60%","32,07%","30,36%","28,87%","27,15%","26,21%","24,76%","24,61%","23,85%","23,16%","22,37%","21,84%","22,41%","22,01%","21,29%","21,35%","21,42%","20,71%","20,80%","19,96%","19,71%","19,65%","18,97%","19,01%","18,35%","18,36%","18,65%","17,70%","17,90%","18,21%","18,35%","17,98%","17,93%","17,71%","17,68%","17,41%","17,31%","16,69%","16,11%","15,22%","14,63%","14,89%","14,49%","14,03%","13,66%"
