,Weeks Since Install,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2016,"55,29%","48,14%","44,15%","41,04%","37,64%","35,51%","33,18%","31,84%","29,73%","28,80%","27,42%","26,01%","24,33%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2016,"61,56%","54,80%","49,91%","45,59%","42,06%","38,99%","37,05%","34,97%","33,82%","31,50%","30,59%","29,53%","27,06%","26,31%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2016,"50,16%","44,58%","40,02%","37,54%","34,31%","32,15%","30,96%","28,98%","26,76%","26,23%","25,43%","23,66%","22,48%","21,32%","20,95%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2016,"55,29%","48,49%","43,57%","40,94%","38,89%","36,26%","34,39%","32,33%","30,50%","28,77%","27,83%","27,46%","25,43%","24,53%","23,57%","22,04%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2016,"57,00%","51,26%","46,40%","42,93%","41,69%","39,37%","36,50%","34,98%","33,07%","31,01%","30,16%","29,34%","27,74%","26,56%","25,44%","24,12%","22,97%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2016,"51,30%","46,76%","43,16%","39,54%","37,35%","36,15%","33,55%","32,23%","30,08%","28,81%","27,84%","26,94%","25,66%","24,68%","24,16%","22,70%","21,24%","20,76%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2016,"49,02%","42,64%","40,50%","38,58%","36,48%","33,15%","32,83%","30,78%","29,88%","28,17%","26,66%","25,55%","25,24%","23,83%","23,16%","22,28%","21,47%","19,88%","19,16%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2016,"63,27%","57,10%","52,20%","49,72%","46,81%","43,01%","42,49%","40,11%","37,97%","36,56%","35,58%","34,02%","32,44%","31,03%","30,05%","29,07%","28,34%","26,96%","26,06%","24,85%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2016,"50,16%","45,07%","41,45%","39,51%","37,20%","35,74%","33,52%","32,13%","31,69%","29,81%","29,36%","27,88%","26,40%","25,46%","24,41%","23,67%","23,01%","22,32%","20,86%","20,18%","19,39%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2016,"63,27%","56,30%","51,31%","49,69%","46,24%","44,31%","42,83%","41,58%","39,76%","38,18%","37,21%","35,95%","35,07%","32,94%","31,60%","30,85%","29,90%","28,15%","27,31%","26,59%","25,49%","24,89%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2016,"62,70%","55,38%","50,97%","48,79%","45,52%","42,91%","42,30%","41,54%","39,49%","38,16%","36,61%","35,57%","34,33%","33,25%","32,18%","30,68%","29,64%","29,24%","28,44%","27,91%","25,81%","24,84%","23,74%",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2016,"64,98%","57,83%","53,42%","49,98%","47,43%","46,25%","43,60%","43,05%","42,05%","40,06%","38,57%","38,15%","36,65%","35,71%","33,62%","33,38%","31,77%","30,97%","29,96%","29,67%","27,81%","27,08%","25,90%","25,06%",,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2016,"64,41%","56,67%","51,76%","50,35%","47,28%","45,13%","43,70%","41,59%","41,24%","40,01%","38,46%","37,25%","35,95%","35,75%","34,78%","32,94%","31,49%","30,83%","29,69%","28,34%","27,97%","27,21%","25,73%","25,01%","23,65%",,,,,,,,,,,,,,,,,,,,,,,,,,
4/4/2016,"63,84%","57,57%","52,87%","48,83%","46,00%","45,02%","43,05%","42,10%","39,58%","38,97%","38,28%","37,12%","36,71%","35,31%","34,10%","33,41%","32,23%","31,17%","30,15%","29,46%","27,93%","27,45%","26,22%","26,05%","24,70%","23,73%",,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2016,"51,87%","45,46%","42,36%","39,45%","36,80%","36,11%","33,70%","32,71%","32,39%","31,38%","30,04%","30,24%","28,84%","27,78%","28,09%","26,02%","26,02%","25,09%","24,29%","23,53%","22,67%","21,93%","21,48%","21,08%","20,40%","19,36%","18,41%",,,,,,,,,,,,,,,,,,,,,,,,
3/21/2016,"54,72%","48,58%","44,22%","41,74%","39,13%","36,56%","35,35%","33,93%","33,03%","32,77%","31,18%","30,64%","30,73%","29,57%","28,56%","28,06%","26,91%","26,27%","25,65%","24,62%","24,32%","23,69%","22,48%","22,04%","21,77%","20,99%","19,88%","18,96%",,,,,,,,,,,,,,,,,,,,,,,
3/14/2016,"54,15%","48,94%","44,92%","41,05%","38,95%","36,62%","34,73%","33,01%","32,62%","31,35%","30,54%","29,00%","28,54%","27,94%","27,22%","26,15%","25,89%","25,67%","24,96%","23,94%","23,16%","22,30%","22,17%","20,92%","20,43%","19,80%","19,46%","18,01%","17,33%",,,,,,,,,,,,,,,,,,,,,,
3/7/2016,"54,15%","47,55%","44,50%","41,35%","38,36%","36,37%","35,20%","33,14%","32,73%","31,47%","30,91%","29,63%","28,59%","28,53%","28,88%","27,12%","27,05%","26,10%","26,10%","24,72%","24,44%","23,69%","22,72%","22,16%","21,18%","21,30%","20,81%","19,57%","18,84%","18,31%",,,,,,,,,,,,,,,,,,,,,
2/29/2016,"60,42%","53,85%","49,89%","47,08%","43,40%","41,12%","39,82%","37,38%","35,91%","35,08%","33,84%","33,81%","32,71%","31,11%","31,42%","30,95%","29,58%","28,69%","28,83%","28,05%","26,95%","26,53%","26,09%","25,06%","24,45%","23,73%","22,44%","22,30%","21,85%","20,40%","19,73%",,,,,,,,,,,,,,,,,,,,
2/22/2016,"55,86%","50,20%","45,64%","43,60%","39,75%","37,52%","35,92%","33,91%","32,82%","31,65%","30,92%","29,14%","29,33%","28,08%","27,51%","27,22%","27,28%","26,32%","26,10%","24,94%","24,21%","24,02%","22,89%","22,88%","22,46%","21,20%","20,53%","20,32%","19,84%","18,98%","18,11%","17,87%",,,,,,,,,,,,,,,,,,,
2/15/2016,"53,01%","47,53%","42,91%","40,30%","38,29%","35,78%","33,87%","32,18%","30,98%","29,76%","28,38%","27,87%","27,50%","26,09%","26,38%","25,60%","25,56%","25,20%","24,62%","23,41%","23,57%","22,55%","21,85%","21,46%","20,73%","20,38%","19,85%","18,97%","18,77%","18,35%","17,83%","16,81%","16,71%",,,,,,,,,,,,,,,,,,
2/8/2016,"58,14%","50,76%","47,72%","44,55%","42,37%","40,66%","37,62%","35,53%","34,34%","33,74%","31,68%","30,41%","30,05%","29,02%","29,00%","28,72%","27,53%","28,02%","27,29%","25,98%","25,63%","25,79%","25,07%","24,48%","23,95%","22,82%","23,00%","22,33%","21,64%","21,11%","20,98%","19,87%","19,36%","18,32%",,,,,,,,,,,,,,,,,
2/1/2016,"53,58%","48,22%","44,25%","41,49%","38,58%","38,03%","36,36%","34,59%","33,16%","31,62%","30,37%","29,53%","28,35%","27,40%","26,64%","27,08%","26,32%","25,64%","25,03%","25,10%","24,80%","24,08%","24,17%","22,77%","22,72%","22,44%","21,10%","20,92%","20,28%","19,51%","19,79%","18,50%","18,28%","17,82%","17,36%",,,,,,,,,,,,,,,,
1/25/2016,"61,56%","54,61%","50,00%","46,72%","43,82%","41,32%","40,58%","39,26%","37,33%","35,56%","34,58%","33,59%","31,90%","31,15%","30,46%","29,78%","29,28%","29,04%","27,94%","28,41%","28,24%","27,00%","26,67%","26,43%","26,08%","25,19%","24,84%","23,47%","23,62%","23,26%","22,50%","21,93%","21,16%","20,49%","20,17%","19,25%",,,,,,,,,,,,,,,
1/18/2016,"55,86%","49,36%","45,41%","43,05%","39,41%","37,30%","35,82%","35,28%","33,13%","32,45%","31,03%","30,10%","28,73%","28,02%","27,06%","26,52%","25,50%","25,35%","25,62%","24,84%","24,98%","24,47%","23,82%","23,08%","23,03%","22,81%","22,22%","21,52%","21,18%","21,20%","20,34%","19,92%","19,48%","18,90%","18,35%","17,35%","17,23%",,,,,,,,,,,,,,
1/11/2016,"48,45%","43,10%","38,34%","35,65%","34,63%","32,33%","31,09%","30,38%","28,70%","27,74%","27,02%","26,33%","24,88%","24,19%","23,19%","22,56%","22,77%","21,69%","22,17%","21,42%","20,76%","20,92%","21,08%","20,53%","19,77%","19,83%","19,49%","19,05%","18,68%","18,21%","17,84%","17,77%","17,10%","17,01%","16,45%","16,22%","15,87%","15,05%",,,,,,,,,,,,,
1/4/2016,"63,84%","56,90%","50,98%","48,76%","44,31%","42,85%","40,41%","40,00%","38,49%","36,93%","35,68%","35,18%","34,06%","32,83%","31,63%","31,42%","30,78%","29,57%","29,94%","29,19%","28,68%","27,81%","27,96%","27,96%","27,39%","26,77%","27,19%","26,87%","26,13%","25,18%","25,00%","24,13%","24,37%","23,34%","23,38%","22,61%","21,26%","20,64%","20,17%",,,,,,,,,,,,
12/28/2015,"62,70%","56,52%","52,77%","48,98%","44,31%","43,45%","41,69%","39,34%","39,09%","36,59%","36,23%","35,86%","34,72%","33,76%","32,43%","31,60%","30,17%","29,86%","29,74%","28,61%","29,02%","28,20%","28,00%","28,09%","28,10%","26,94%","26,49%","25,96%","25,91%","25,25%","24,94%","24,33%","23,58%","23,74%","22,72%","22,58%","21,41%","20,93%","20,04%","20,13%",,,,,,,,,,,
12/21/2015,"56,43%","49,54%","46,29%","42,89%","40,19%","37,87%","36,58%","36,11%","34,28%","33,43%","31,79%","31,40%","31,33%","30,19%","28,60%","28,27%","27,23%","26,70%","26,01%","26,07%","25,41%","25,61%","24,96%","24,45%","24,66%","24,86%","23,50%","23,62%","23,77%","22,98%","23,01%","22,66%","21,38%","21,54%","20,65%","20,33%","20,17%","19,86%","18,82%","18,38%","18,05%",,,,,,,,,,
12/14/2015,"58,14%","51,91%","46,22%","44,76%","41,44%","40,25%","36,81%","36,25%","35,00%","33,76%","33,91%","32,46%","32,12%","30,60%","29,99%","29,34%","29,06%","28,22%","27,81%","27,09%","26,79%","26,17%","26,17%","26,45%","25,76%","26,01%","26,22%","25,29%","24,89%","24,74%","24,56%","23,63%","23,28%","23,11%","22,61%","22,38%","21,23%","21,71%","21,27%","20,37%","19,46%","19,03%",,,,,,,,,
12/7/2015,"58,71%","51,43%","47,51%","44,96%","42,22%","40,37%","38,07%","36,34%","35,43%","34,60%","33,48%","32,94%","31,90%","31,26%","30,27%","29,59%","29,58%","28,94%","28,17%","27,41%","27,01%","26,67%","25,69%","25,45%","26,03%","24,77%","25,32%","25,84%","25,06%","24,20%","24,81%","23,64%","23,63%","23,10%","22,79%","22,15%","21,55%","20,48%","20,91%","20,49%","19,56%","18,94%","19,00%",,,,,,,,
11/30/2015,"60,42%","52,37%","48,15%","44,98%","41,45%","39,73%","38,11%","36,75%","34,68%","33,66%","33,64%","32,68%","31,09%","30,67%","30,54%","29,95%","29,46%","28,44%","28,27%","27,35%","26,06%","25,69%","26,21%","25,53%","25,33%","24,89%","23,92%","24,73%","24,44%","23,99%","23,13%","23,56%","22,80%","23,07%","22,49%","21,72%","21,10%","20,69%","20,28%","20,69%","20,05%","19,30%","18,42%","18,00%",,,,,,,
11/23/2015,"54,15%","47,78%","43,09%","40,16%","37,98%","34,93%","34,18%","33,25%","31,29%","29,90%","29,43%","28,75%","28,16%","28,22%","27,68%","26,58%","26,31%","25,93%","24,66%","24,63%","24,23%","23,66%","22,87%","22,82%","22,53%","22,79%","22,03%","22,05%","22,47%","22,14%","21,77%","21,59%","21,15%","20,70%","20,33%","19,80%","19,54%","19,39%","18,88%","18,22%","18,02%","17,82%","17,41%","16,78%","16,32%",,,,,,
11/16/2015,"53,01%","46,82%","42,85%","38,99%","36,49%","34,61%","32,92%","31,31%","30,62%","29,30%","28,63%","27,52%","27,38%","26,34%","25,43%","24,95%","24,96%","24,94%","24,56%","23,65%","22,91%","22,73%","21,89%","21,23%","21,34%","21,05%","21,14%","20,89%","20,88%","21,10%","21,13%","20,55%","19,80%","20,39%","20,08%","19,60%","18,80%","18,28%","18,44%","18,13%","17,92%","17,63%","17,13%","16,76%","15,87%","15,22%",,,,,
11/9/2015,"63,27%","55,00%","50,91%","48,22%","43,23%","41,60%","39,12%","37,10%","35,35%","35,85%","33,96%","33,11%","32,58%","32,29%","30,89%","30,45%","30,28%","29,61%","29,77%","28,79%","27,94%","27,95%","27,43%","26,71%","25,85%","25,84%","25,90%","25,79%","25,93%","25,74%","26,02%","26,45%","25,58%","25,23%","24,56%","24,53%","24,28%","23,41%","24,04%","23,06%","22,31%","21,43%","21,78%","21,00%","20,18%","19,53%","18,98%",,,,
11/2/2015,"57,00%","49,05%","45,35%","43,09%","39,61%","37,30%","35,41%","33,68%","31,71%","30,65%","30,97%","29,49%","28,34%","27,24%","27,67%","26,40%","25,89%","26,33%","26,08%","25,70%","25,79%","24,20%","24,38%","23,70%","23,60%","23,01%","22,73%","22,74%","22,46%","22,56%","21,56%","22,25%","22,55%","21,45%","21,28%","21,29%","21,00%","20,42%","20,08%","19,81%","19,78%","19,32%","18,73%","18,49%","18,39%","17,72%","17,01%","16,60%",,,
10/26/2015,"51,30%","43,08%","39,19%","36,86%","35,42%","32,04%","29,95%","28,66%","27,93%","26,29%","25,68%","25,80%","24,26%","23,88%","22,78%","22,75%","22,24%","22,23%","21,88%","21,59%","21,32%","20,74%","20,36%","19,36%","19,59%","19,04%","18,61%","18,21%","18,57%","18,62%","18,26%","17,99%","18,07%","18,16%","17,79%","17,94%","17,89%","17,83%","17,42%","16,80%","16,55%","16,53%","16,21%","15,72%","15,19%","15,05%","14,52%","14,41%","14,01%",,
10/19/2015,"54,72%","47,02%","41,97%","39,12%","36,32%","34,42%","32,18%","30,46%","29,07%","28,02%","26,75%","26,56%","25,62%","24,94%","24,01%","23,63%","23,32%","22,93%","22,94%","21,98%","22,01%","21,36%","21,47%","20,84%","20,36%","19,80%","19,74%","19,47%","19,27%","18,54%","18,80%","18,42%","18,14%","18,42%","18,54%","18,10%","17,80%","18,04%","17,97%","17,53%","16,94%","16,72%","16,83%","16,75%","16,45%","15,81%","15,55%","15,13%","14,68%","14,17%",
10/12/2015,"55,29%","46,67%","42,10%","38,73%","34,81%","32,37%","31,87%","28,85%","28,03%","26,09%","25,74%","24,45%","23,29%","23,20%","22,55%","22,24%","22,00%","22,01%","21,95%","22,09%","20,93%","21,60%","21,33%","20,91%","20,73%","20,36%","20,35%","19,25%","19,18%","18,96%","18,84%","19,37%","18,46%","18,65%","19,30%","19,48%","18,73%","18,52%","18,51%","18,52%","18,92%","18,43%","17,72%","17,83%","17,84%","17,49%","16,98%","16,47%","16,69%","15,48%","15,25%"
10/5/2015,"60,42%","51,40%","46,81%","44,08%","39,77%","37,20%","34,79%","33,44%","31,66%","29,47%","28,77%","27,01%","26,29%","25,40%","25,29%","24,39%","23,58%","23,14%","23,21%","23,25%","22,47%","21,99%","22,22%","21,79%","21,76%","21,29%","20,51%","20,41%","20,14%","19,88%","19,62%","19,52%","19,15%","18,72%","19,16%","19,12%","19,17%","19,24%","18,95%","18,54%","18,70%","18,45%","18,00%","17,69%","17,13%","16,15%","15,51%","15,54%","15,01%","14,79%","14,50%"
